,Feature_Name,Accuracy,F1_Score,Train_Time,Evaluate_Time
0,train_daisy_blue_features,0.15075757575757578,0.10070248127364015,4.772220325469971,0.0136580228805542
1,train_daisy_gray_features,0.15208333333333335,0.10477806951205457,4.447340369224548,0.015154743194580078
2,train_daisy_green_features,0.14981060606060606,0.10219096845235406,4.946945309638977,0.009659790992736816
3,train_daisy_red_features,0.15113636363636362,0.1035108277783097,5.0628645658493046,0.010302352905273437
4,train_EffNet_features,0.9075757575757575,0.9079052190498302,33.2022824048996,0.008705449104309083
5,train_HSV_features,0.2556818181818182,0.22836034249990494,0.8604915857315063,0.0029062747955322264
6,train_large_blue_HOG_features,0.26590909090909093,0.2531300914683857,24.211721205711363,0.006555342674255371
7,train_large_brightness_HOG_features,0.27121212121212124,0.2589435185902709,25.16356794834137,0.006602048873901367
8,train_large_gray_HOG_features,0.278030303030303,0.26620686780344716,23.94447453022003,0.0057022333145141605
9,train_large_green_HOG_features,0.27045454545454545,0.2596194581476787,24.037987923622133,0.007039785385131836
10,train_large_hue_HOG_features,0.30265151515151517,0.29697667243137227,23.46380693912506,0.006005620956420899
11,train_large_red_HOG_features,0.2708333333333333,0.25620753582136346,24.1502628326416,0.007053899765014649
12,train_large_saturation_HOG_features,0.2518939393939394,0.2346664900500194,27.307444190979005,0.006713080406188965
13,train_ResNet_features,0.9172348484848485,0.9170386118754819,54.139674520492555,0.01504514217376709
14,train_RGB_features,0.2096590909090909,0.18199213868146652,0.9794773817062378,0.0030086994171142577
15,train_small_blue_HOG_features,0.29507575757575755,0.2799591833784458,219.5466210603714,0.04321401119232178
16,train_small_brightness_HOG_features,0.29810606060606065,0.28353876155388313,215.85770704746247,0.046791887283325194
17,train_small_gray_HOG_features,0.2988636363636364,0.2860595397273875,213.32085728645325,0.046007394790649414
18,train_small_green_HOG_features,0.3020833333333333,0.28788354582068637,220.5578162908554,0.04102640151977539
19,train_small_hue_HOG_features,0.3109848484848485,0.3058907282904047,217.37801706790924,0.03706016540527344
20,train_small_red_HOG_features,0.29696969696969694,0.2844410575085857,215.37652878761293,0.048305511474609375
21,train_small_saturation_HOG_features,0.30965909090909094,0.29694664226983025,208.47831766605378,0.04391047954559326
